"file","Ftrgt","Btrigger","HCR","TACconstr","BB","OM","Blim","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","iavTAC_long","iavTAC_short","iavTAC_medium","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short"
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-150000_TACconstr-TRUE_BB-TRUE.rds",0.3,150000,"A",TRUE,TRUE,"Baseline",94000,61538.78611,49335.58524,58338.50162,0.09715,0.0819,0.1232,0.1016,0.095,0.195,0.116,0.353334786,0.277477805,0.353322033,50671.35,46076.3,48581.4,0,1,179103.5689,147949.716,167281.4413,0.998,1,0.274863167,0.282352033,0.295214996,0.281977983,0.273189496,0.276852043,0.4177,0.4502,0.4472
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",0.3,160000,"A",FALSE,FALSE,"Baseline",94000,61414.51029,47887.3276,59900.797,0.08825,0.0734,0.1176,0.0886,0.084,0.2,0.101,0.27965667,0.207605021,0.291772312,52266.5,44641,51592,0,1,181627.3062,149163.6468,170444.4543,0.998,1,0.277629692,0.286761539,0.292931692,0.283327185,0.269047151,0.285295236,0.4569,0.4934,0.5036
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-160000_TACconstr-TRUE_BB-TRUE.rds",0.3,160000,"A",TRUE,TRUE,"Baseline",94000,61447.06172,48708.13186,58334.42326,0.09,0.0738,0.1202,0.0922,0.086,0.193,0.106,0.355864265,0.280181356,0.35204765,50574,45258.5,48340.25,0,1,181917.3894,148816.2723,169867.6899,0.998,1,0.280796819,0.295325702,0.298178593,0.277796802,0.265987168,0.27315623,0.4551,0.4886,0.5046
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds",0.3,170000,"A",TRUE,TRUE,"Baseline",94000,61310.93559,48004.40436,58390.06752,0.0811,0.0661,0.1102,0.082,0.077,0.186,0.095,0.354192715,0.241223492,0.347494881,50294.05,43996,48532.7,0,2,184229.8439,150382.1025,172501.9124,0.999,1,0.285237998,0.296876414,0.301917885,0.273236043,0.260270867,0.270014965,0.4928,0.524,0.7256
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.3,180000,"A",FALSE,FALSE,"Baseline",94000,61127.92213,46577.6004,59745.4742,0.0726,0.0599,0.1002,0.0704,0.069,0.173,0.079,0.288719777,0.215972584,0.302093384,51816,42171,51042,0,1,186995.2673,152774.2223,176316.0837,0.999,1,0.287622947,0.301009867,0.302120134,0.274617146,0.251746305,0.276329669,0.5283,0.5584,0.7758
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds",0.3,180000,"A",TRUE,TRUE,"Baseline",94000,61154.74414,47269.72466,58395.38671,0.07295,0.0603,0.0994,0.0718,0.07,0.171,0.08,0.353904137,0.233749005,0.352472961,50105.6,42079,48474.85,0,2,187126.9856,152891.4666,175891.4984,0.999,1,0.28990216,0.301222299,0.306231623,0.268732404,0.250468914,0.266877255,0.526,0.5548,0.7758
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.3,190000,"A",FALSE,FALSE,"Baseline",94000,60954.11789,45892.7674,59625.0604,0.0655,0.0543,0.0902,0.0632,0.065,0.157,0.069,0.293148742,0.219717001,0.304526336,51457.5,40316.5,50722.5,0,0,189694.9649,155033.3078,179175.0026,0.999,1,0.291839425,0.304736924,0.305929208,0.26973269,0.24310721,0.27257618,0.5586,0.5884,0.8058
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds",0.3,190000,"A",TRUE,TRUE,"Baseline",94000,60989.13326,46562.2232,58334.16342,0.0661,0.0548,0.0898,0.065,0.063,0.156,0.075,0.354761303,0.233145042,0.354056318,49683.95,40260.5,48347.2,0,1,189911.9208,155120.303,178723.3031,0.999,1,0.296040129,0.304982479,0.311088887,0.264546597,0.24183909,0.262089455,0.5596,0.5842,0.8054
"Baseline_HCR-A_Ftrgt-0.3_Btrigger-200000_TACconstr-TRUE_BB-TRUE.rds",0.3,2e+05,"A",TRUE,TRUE,"Baseline",94000,60794.64044,45863.1059,58239.49631,0.05825,0.0473,0.0826,0.0558,0.053,0.147,0.059,0.354980485,0.234033548,0.349064094,49254.5,38591.5,48173.5,0,0,192390.2468,157102.3971,181619.6482,1,1,0.29952639,0.30440939,0.317232091,0.260127427,0.233102444,0.258938531,0.5874,0.6086,0.8284
"Baseline_HCR-B_Ftrgt-0.167_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds",0.167,170000,"B",TRUE,TRUE,"Baseline",94000,48852.6437,34240.36448,44868.09478,0.02255,0.006,0.0642,0.014,0.01,0.114,0.023,0.373787546531623,0.430106087480339,0.364020862677888,41597.75,30561.15,38406.55,0,0,280600.00797773,168198.141784109,241525.161928248,1,1,0.206018310013157,0.386345998773975,0.229073825328923,0.171771125980003,0.158216242560816,0.167441130241446,0.1641,0.2432,0.6466
"Baseline_HCR-B_Ftrgt-0.167_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.167,190000,"B",FALSE,FALSE,"Baseline",94000,48682.5983,31186.817,46588.6372,0.01355,0.0043,0.0348,0.0108,0.007,0.052,0.02,0.210387069969186,0.388721641119766,0.229458157107276,42479.5,24012,40468.5,0,0,284468.092629767,178256.003070324,249739.859904441,1,1,0.20933021448223,0.282773124599766,0.228147333084801,0.171256057113394,0.143870944069433,0.172143759596404,0.2314,0.313,0.7134
"Baseline_HCR-B_Ftrgt-0.194_Btrigger-132000_TACconstr-FALSE_BB-FALSE.rds",0.194,132000,"B",FALSE,FALSE,"Baseline",94000,52757.0866,36967.9552,50755.4032,0.0269,0.0145,0.0542,0.0244,0.017,0.086,0.033,0.20791897,0.310701225,0.22568453,45374.5,30701,43410,0,0,252263.1506,167694.561,222790.748,1,1,0.207542986,0.231814152,0.223192634,0.203191877,0.188612792,0.206015997,0.103,0.1448,0.2212
